OrderID,CustomerID,OrderDate,OrderAmount
O2092,C1399,2025-09-02,15936
O2093,C1587,2024-03-21,1681
O2094,C1661,2025-04-30,527
O2095,C1470,2025-06-08,6854
O2096,C1611,2024-04-27,14100
O2097,C1713,2024-03-26,7318
O2098,C1043,2024-02-10,1322
O2099,C1600,2025-01-01,6662
O2100,C1275,2025-11-23,3188
O2101,C1757,2024-02-12,11649
O2102,C1127,2024-10-22,11938
O2103,C1684,2025-11-05,5984
O2104,C1288,2024-11-07,3517
O2105,C1609,2023-03-23,3106
O2106,C1317,2025-06-12,4072
O2107,C1608,2024-06-28,8598
O2108,C1875,2022-12-30,1850
O2109,C1565,2025-02-09,9912
O2110,C1423,2024-07-26,19245
O2111,C1906,2024-10-12,7825
O2112,C1379,2025-07-17,18681
O2113,C1331,2024-06-02,14369
O2114,C1585,2024-01-26,3265
O2115,C1626,2024-02-06,7656
O2116,C1151,2024-05-13,14497
O2117,C1029,2024-11-27,12853
O2118,C1313,2025-09-14,12930
O2119,C1086,2024-05-14,13420
O2120,C1672,2023-08-20,11290
O2121,C1663,2024-09-18,3230
O2122,C1870,2024-03-01,10481
O2123,C1805,2023-08-24,13067
O2124,C1794,2024-01-04,1699
O2125,C1498,2023-01-27,5171
O2126,C1932,2025-11-01,18536
O2127,C1124,2025-08-25,1228
O2128,C1631,2023-08-27,13614
O2129,C1937,2025-08-02,7011
O2130,C1472,2024-07-29,4956
O2131,C1114,2023-01-18,10294
O2132,C1495,2024-11-24,2795
O2133,C1128,2025-10-28,6836
O2134,C1573,2023-02-16,7992
O2135,C1985,2025-05-18,14791
O2136,C1110,2023-12-25,10392
O2137,C1846,2023-08-21,10023
O2138,C1174,2025-05-24,5296
O2139,C1697,2024-09-07,10078
O2140,C1963,2025-03-09,18711
O2141,C1493,2024-05-10,5635
O2142,C1602,2024-10-23,17487
O2143,C1733,2025-04-01,19584
O2144,C1024,2025-01-15,14074
O2145,C1192,2022-12-24,10355
O2146,C1673,2023-11-14,12654
O2147,C1186,2023-12-18,17037
O2148,C1097,2025-07-10,11726
O2149,C1962,2025-02-01,11864
O2150,C1621,2025-09-17,18748
O2151,C1587,2023-05-10,12637
O2152,C1421,2024-04-04,1844
O2153,C1740,2023-01-25,335
O2154,C1335,2025-02-18,12544
O2155,C1490,2023-01-21,3786
O2156,C1724,2025-09-11,4912
O2157,C1525,2023-11-15,5152
O2158,C1016,2023-05-15,14330
O2159,C1657,2024-01-26,12470
O2160,C1281,2023-08-07,6182
O2161,C1421,2024-03-28,19417
O2162,C1853,2025-11-02,19314
O2163,C1603,2025-01-03,4861
O2164,C1796,2023-03-20,18383
O2165,C1799,2024-05-12,9755
O2166,C1117,2023-06-28,1853
O2167,C1114,2025-08-01,4329
O2168,C1828,2024-12-12,10927
O2169,C1768,2024-02-01,4277
O2170,C1783,2023-02-25,10545
O2171,C1728,2024-09-27,12504
O2172,C1247,2024-07-09,5099
O2173,C1395,2023-01-03,3993
O2174,C1306,2023-08-24,13980
O2175,C1304,2025-05-15,9871
O2176,C1352,2023-03-05,6727
O2177,C1645,2023-06-16,14902
O2178,C1995,2024-08-07,5768
O2179,C1092,2023-11-07,12955
O2180,C1524,2025-08-11,5795
O2181,C1635,2023-02-18,11590
O2182,C1088,2025-06-15,3368
O2183,C1237,2024-04-13,3052
O2184,C1154,2023-07-10,17842
O2185,C1697,2023-06-18,8720
O2186,C1367,2023-09-08,10178
O2187,C1390,2025-05-26,9598
O2188,C1461,2025-04-10,15280
O2189,C1887,2024-10-12,19678
O2190,C1667,2024-01-05,4034
O2191,C1309,2023-02-26,6287
O2192,C1755,2023-10-22,5083
O2193,C1933,2024-03-05,7536
O2194,C1188,2025-10-13,10031
O2195,C1961,2023-02-05,9784
O2196,C1859,2024-08-09,7496
O2197,C1828,2023-06-21,17562
O2198,C1703,2025-02-02,15537
O2199,C1623,2025-11-28,19135
O2200,C1476,2023-01-16,6730
O2201,C1994,2024-05-09,8103
O2202,C1275,2023-05-25,2940
O2203,C1439,2024-09-22,12721
O2204,C1368,2023-05-17,1689
O2205,C1502,2023-09-16,15349
O2206,C1596,2023-10-08,10030
O2207,C1398,2023-03-05,2052
O2208,C1162,2025-08-01,3576
O2209,C1368,2024-02-11,13239
O2210,C1390,2023-11-07,11192
O2211,C1505,2025-03-26,10686
O2212,C1617,2024-04-07,6101
O2213,C1443,2024-01-04,19220
O2214,C1085,2023-06-20,9106
O2215,C1943,2024-05-26,18141
O2216,C1635,2023-09-20,14742
O2217,C1088,2025-07-03,7262
O2218,C1014,2024-06-13,906
O2219,C1316,2025-03-26,5610
O2220,C1637,2024-01-24,17901
O2221,C1027,2022-12-16,17778
O2222,C1873,2024-10-01,15239
O2223,C1617,2024-03-22,468
O2224,C1469,2023-04-29,7502
O2225,C1359,2025-05-15,10675
O2226,C1377,2024-09-25,8790
O2227,C1710,2023-08-14,6207
O2228,C1542,2024-05-23,12550
O2229,C1669,2024-01-28,4585
O2230,C1010,2023-08-30,564
O2231,C1344,2023-08-29,5243
O2232,C1416,2024-11-09,873
O2233,C1937,2023-09-03,11497
O2234,C1017,2023-05-18,13746
O2235,C1576,2024-09-26,15166
O2236,C1627,2024-06-30,4332
O2237,C1234,2024-07-14,2439
O2238,C1850,2023-09-27,18447
O2239,C1242,2025-11-21,2945
O2240,C1624,2024-07-06,13346
O2241,C1197,2023-09-19,3113
O2242,C1609,2023-10-01,2954
O2243,C1400,2023-11-17,12887
O2244,C1798,2024-09-09,2526
O2245,C1803,2024-03-19,11570
O2246,C1554,2024-07-11,12592
O2247,C1200,2025-04-18,3988
O2248,C1703,2024-03-18,9614
O2249,C1052,2024-09-26,17220
O2250,C1381,2024-06-19,16397
O2251,C1004,2025-04-30,10184
O2252,C1130,2024-04-16,4245
O2253,C1173,2023-03-12,10697
O2254,C1178,2025-11-09,13950
O2255,C1133,2023-04-22,8823
O2256,C1821,2025-09-24,13578
O2257,C1513,2024-11-07,9664
O2258,C1169,2024-10-04,2952
O2259,C1341,2023-10-25,12480
O2260,C1020,2024-08-29,19904
O2261,C1216,2024-06-23,13201
O2262,C1913,2024-06-07,19666
O2263,C1083,2023-06-13,4076
O2264,C1402,2023-02-22,7567
O2265,C1917,2025-07-19,18432
O2266,C1677,2023-05-01,462
O2267,C1292,2024-07-01,11961
O2268,C1508,2023-04-17,3219
O2269,C1071,2023-08-02,10680
O2270,C1644,2023-09-21,9088
O2271,C1599,2023-01-29,18605
O2272,C1889,2023-11-04,17578
O2273,C1969,2023-08-05,9278
O2274,C1224,2024-05-24,19510
O2275,C1404,2024-03-23,7446
O2276,C1249,2025-10-09,2692
O2277,C1787,2024-04-16,13221
O2278,C1266,2023-07-07,9515
O2279,C1368,2025-08-11,4652
O2280,C1638,2024-04-20,3988
O2281,C1300,2024-01-31,577
O2282,C1840,2023-09-25,17031
O2283,C1545,2024-07-03,17505
O2284,C1439,2023-03-10,2913
O2285,C1425,2025-04-19,1004
O2286,C1731,2023-10-06,7282
O2287,C1915,2023-08-23,16504
O2288,C1094,2024-08-21,18706
O2289,C1951,2023-10-21,6735
O2290,C1573,2023-09-30,14502
O2291,C1025,2024-09-29,9071
O2292,C1304,2024-11-07,2347
O2293,C1926,2023-01-25,14245
O2294,C1440,2025-08-22,14714
O2295,C1996,2025-01-08,3208
O2296,C1975,2025-02-08,18266
O2297,C1993,2024-02-27,7961
O2298,C1883,2024-03-30,6604
O2299,C1070,2023-09-18,1920
O2300,C1686,2024-03-14,18742
O2301,C1831,2023-08-15,14841
O2302,C1248,2023-05-27,11391
O2303,C1558,2025-02-09,637
O2304,C1305,2023-01-24,8778
O2305,C1304,2023-05-15,10334
O2306,C1002,2024-10-10,5081
O2307,C1974,2024-03-01,11450
O2308,C1365,2024-06-10,1396
O2309,C1247,2023-11-16,19594
O2310,C1969,2023-01-02,14898
O2311,C1497,2024-05-13,3528
O2312,C1051,2024-04-22,18697
O2313,C1466,2023-08-13,13254
O2314,C1073,2023-03-26,12394
O2315,C1073,2025-08-25,13367
O2316,C1964,2024-11-10,15643
O2317,C1071,2025-01-10,5883
O2318,C1004,2024-07-24,654
O2319,C1365,2024-11-17,10962
O2320,C1973,2023-08-24,18244
O2321,C1252,2023-03-06,15052
O2322,C1773,2024-06-06,12663
O2323,C1017,2023-07-14,10973
O2324,C1556,2024-10-25,3813
O2325,C1380,2025-09-16,6940
O2326,C1085,2025-08-07,12932
O2327,C1544,2025-07-02,9259
O2328,C1667,2023-10-27,4927
O2329,C1728,2023-08-04,10081
O2330,C1641,2023-01-06,6828
O2331,C1905,2023-05-13,11427
O2332,C1910,2025-03-21,7458
O2333,C1156,2025-12-02,15856
O2334,C1581,2025-10-30,10423
O2335,C1788,2024-10-13,9728
O2336,C1340,2023-10-08,751
O2337,C1376,2024-01-25,4568
O2338,C1405,2024-12-10,15464
O2339,C1740,2023-07-07,7074
O2340,C1545,2024-01-09,8301
O2341,C1195,2023-06-06,12955
O2342,C1900,2025-07-16,16267
O2343,C1080,2023-08-05,10006
O2344,C1250,2024-06-03,7331
O2345,C1847,2025-09-29,14123
O2346,C1323,2025-04-02,530
O2347,C1889,2023-04-27,9447
O2348,C1474,2025-08-08,3710
O2349,C1191,2025-01-16,2687
O2350,C1903,2024-02-08,6921
O2351,C1923,2023-07-31,6666
O2352,C1955,2024-04-14,13330
O2353,C1388,2023-04-09,19396
O2354,C1570,2024-01-27,8228
O2355,C1481,2025-01-28,1284
O2356,C1184,2024-02-25,1978
O2357,C1533,2024-08-05,17315
O2358,C1200,2024-07-12,9189
O2359,C1626,2024-03-30,6097
O2360,C1751,2024-06-07,6248
O2361,C1538,2024-09-30,16293
O2362,C1436,2024-10-02,3711
O2363,C1710,2025-04-30,17317
O2364,C1373,2024-11-09,12095
O2365,C1384,2024-03-28,1762
O2366,C1706,2023-06-28,12991
O2367,C1196,2023-01-09,2137
O2368,C1275,2025-05-14,9701
O2369,C1466,2023-07-10,2928
O2370,C1581,2025-09-19,14826
O2371,C1930,2025-06-06,9660
O2372,C1951,2024-12-13,11486
O2373,C1251,2023-07-14,1780
O2374,C1149,2025-11-27,1743
O2375,C1076,2024-04-12,2887
O2376,C1650,2025-11-23,14338
O2377,C1713,2025-02-21,2499
O2378,C1738,2023-03-17,19871
O2379,C1623,2025-02-25,12679
O2380,C1983,2024-07-08,10285
O2381,C1955,2025-09-15,11554
O2382,C1698,2025-08-06,13278
O2383,C1942,2025-10-29,12148
O2384,C1455,2024-08-05,4830
O2385,C1084,2024-11-24,11276
O2386,C1489,2024-03-19,9916
O2387,C1790,2023-09-01,14830
O2388,C1015,2025-09-14,16168
O2389,C1988,2025-06-16,5241
O2390,C1100,2025-08-23,10109
O2391,C1065,2025-11-24,17944
O2392,C1352,2025-07-27,9486
O2393,C1701,2024-03-03,9227
O2394,C1415,2023-07-15,17764
O2395,C1285,2024-08-18,9628
O2396,C1419,2024-12-23,17707
O2397,C1623,2025-11-23,5992
O2398,C1076,2025-10-11,5504
O2399,C1825,2023-12-08,3030
O2400,C1186,2023-01-26,19548
O2401,C1448,2024-03-04,12003
O2402,C1111,2025-02-25,2627
O2403,C1826,2024-12-27,8763
O2404,C1829,2025-01-25,12902
O2405,C1913,2024-04-28,10608
O2406,C1040,2024-09-11,13569
O2407,C1682,2024-12-01,13359
O2408,C1265,2022-12-23,9807
O2409,C1212,2025-11-28,15507
O2410,C1429,2025-03-22,11484
O2411,C1466,2024-04-22,15072
O2412,C1528,2023-06-22,16437
O2413,C1131,2024-10-02,5226
O2414,C1629,2025-04-27,18828
O2415,C1570,2024-07-21,3536
O2416,C1103,2023-08-20,19660
O2417,C1263,2023-01-15,17771
O2418,C1026,2023-11-01,6330
O2419,C1105,2025-11-29,5059
O2420,C1419,2023-02-01,588
O2421,C1031,2025-02-14,10820
O2422,C1539,2025-02-05,8926
O2423,C1714,2025-01-26,3655
O2424,C1867,2024-05-25,13221
O2425,C1466,2024-09-01,2978
O2426,C1060,2023-06-16,7005
O2427,C1776,2023-11-25,17710
O2428,C1582,2023-07-09,13448
O2429,C1160,2023-03-03,16212
O2430,C1571,2025-09-21,17176
O2431,C1466,2024-08-31,10259
O2432,C1075,2023-11-01,8684
O2433,C1387,2024-02-04,14695
O2434,C1752,2024-05-05,5967
O2435,C1201,2023-10-12,8480
O2436,C1611,2023-10-01,6404
O2437,C1429,2024-01-06,3061
O2438,C1992,2025-01-17,15779
O2439,C1187,2023-08-25,18130
O2440,C1409,2023-02-01,1645
O2441,C1939,2023-03-25,15753
O2442,C1096,2025-01-01,5167
O2443,C1023,2024-02-14,5696
O2444,C1969,2024-11-12,18143
O2445,C1586,2025-03-07,9710
O2446,C1781,2023-12-28,6511
O2447,C1255,2024-02-28,1101
O2448,C1330,2024-01-27,9873
O2449,C1744,2025-04-13,12253
O2450,C1822,2023-07-29,9884
O2451,C1245,2025-09-28,10704
O2452,C1345,2025-04-02,1010
O2453,C1641,2022-12-14,10156
O2454,C1243,2024-01-11,6461
O2455,C1356,2025-10-08,9870
O2456,C1543,2024-02-08,17670
O2457,C1857,2023-09-22,19618
O2458,C1551,2022-12-15,16462
O2459,C1292,2023-10-22,7919
O2460,C1142,2025-04-26,7241
O2461,C1163,2023-12-04,6105
O2462,C1731,2025-03-07,7519
O2463,C1552,2025-08-19,3418
O2464,C1828,2025-07-24,6129
O2465,C1758,2025-09-03,4435
O2466,C1516,2025-06-07,9272
O2467,C1464,2023-02-23,2489
O2468,C1781,2023-03-10,10928
O2469,C1156,2025-04-28,10422
O2470,C1542,2025-11-26,10041
O2471,C1236,2025-11-13,4962
O2472,C1624,2023-11-03,18359
O2473,C1618,2024-09-09,11492
O2474,C1285,2023-10-13,19291
O2475,C1421,2024-12-25,19224
O2476,C1914,2024-03-19,10826
O2477,C1097,2025-05-27,9914
O2478,C1180,2025-11-26,2133
O2479,C1971,2024-11-22,15246
O2480,C1071,2023-07-24,16376
O2481,C1701,2023-08-03,17075
O2482,C1794,2023-01-29,13524
O2483,C1386,2023-07-02,16024
O2484,C1530,2025-10-23,5502
O2485,C1609,2023-05-25,11110
O2486,C1823,2023-08-19,3931
O2487,C1121,2023-06-09,2192
O2488,C1135,2024-03-30,10163
O2489,C1749,2025-08-13,19311
O2490,C1960,2024-05-07,19983
O2491,C1097,2025-09-23,1649
O2492,C1757,2023-08-03,15804
O2493,C1425,2025-09-29,10363
O2494,C1716,2023-07-06,3476
O2495,C1831,2025-09-13,15784
O2496,C1455,2023-01-27,19519
O2497,C1795,2024-09-26,1647
O2498,C1445,2025-05-19,2565
O2499,C1779,2025-03-16,9059
O2500,C1274,2025-01-13,4568
O2501,C1465,2024-08-28,11173
O2502,C1992,2024-05-16,1930
O2503,C1796,2023-04-10,10679
O2504,C2000,2025-04-30,7576
O2505,C1960,2024-11-27,9221
O2506,C1236,2024-08-30,2325
O2507,C1322,2023-01-15,16335
O2508,C1979,2025-07-24,2369
O2509,C1337,2023-06-04,12783
O2510,C1233,2025-03-22,10533
O2511,C1611,2023-08-09,17615
O2512,C1480,2023-09-14,16668
O2513,C1021,2022-12-17,19005
O2514,C1432,2025-09-26,16508
O2515,C1432,2023-11-24,15515
O2516,C1168,2023-03-10,5305
O2517,C1184,2025-07-30,11267
O2518,C1007,2024-07-25,15144
O2519,C1503,2023-05-07,14567
O2520,C1989,2024-10-23,7893
O2521,C1979,2025-09-14,1829
O2522,C1003,2024-12-18,5186
O2523,C1398,2024-10-04,16358
O2524,C1889,2024-10-12,12555
O2525,C1323,2024-05-11,836
O2526,C1700,2022-12-06,14990
O2527,C1328,2023-09-25,6144
O2528,C1103,2025-06-22,3290
O2529,C1041,2025-11-20,1941
O2530,C1326,2024-06-05,15076
O2531,C1201,2022-12-14,6143
O2532,C1836,2025-02-08,13490
O2533,C1980,2025-11-30,17468
O2534,C1756,2023-08-26,8617
O2535,C1315,2025-07-28,6568
O2536,C1886,2024-01-28,15738
O2537,C1481,2025-05-19,16647
O2538,C1744,2024-09-01,2484
O2539,C1673,2023-02-02,19293
O2540,C1861,2023-04-14,4339
O2541,C1311,2024-05-04,5070
O2542,C1611,2023-07-21,11784
O2543,C1774,2024-03-24,4894
O2544,C1425,2024-01-15,3435
O2545,C1531,2024-12-31,15342
O2546,C1373,2024-05-20,13535
O2547,C1987,2025-04-07,19270
O2548,C1814,2023-11-14,8914
O2549,C1440,2023-10-17,16533
O2550,C1024,2025-10-16,9814
O2551,C1557,2025-05-28,13575
O2552,C1705,2024-09-16,3280
O2553,C1200,2024-03-01,14067
O2554,C1773,2025-04-05,8955
O2555,C1907,2025-11-09,1197
O2556,C1177,2023-04-18,8917
O2557,C1834,2023-03-10,16458
O2558,C1249,2024-03-09,14474
O2559,C1051,2025-01-28,9779
O2560,C1460,2022-12-21,10763
O2561,C1644,2025-03-22,5881
O2562,C1080,2025-10-01,18495
O2563,C1461,2023-06-22,1433
O2564,C1527,2023-12-29,8850
O2565,C1628,2025-08-23,1263
O2566,C1725,2025-07-01,721
O2567,C1024,2025-01-23,18481
O2568,C1060,2025-11-10,12233
O2569,C1746,2024-07-08,11658
O2570,C1447,2024-09-19,5291
O2571,C1256,2024-07-25,14839
O2572,C1927,2023-03-23,17025
O2573,C1796,2024-06-22,14248
O2574,C1761,2025-10-10,9195
O2575,C1953,2024-04-09,15195
O2576,C1999,2023-09-09,17126
O2577,C1830,2025-03-18,13445
O2578,C1261,2023-10-20,4746
O2579,C1771,2025-09-25,11113
O2580,C1657,2025-01-24,14870
O2581,C1296,2025-04-04,1328
O2582,C1750,2023-03-01,5658
O2583,C1774,2024-05-17,14974
O2584,C1140,2023-09-02,7429
O2585,C1772,2024-06-27,16984
O2586,C1938,2024-06-29,16873
O2587,C1007,2023-11-22,16091
O2588,C1463,2024-04-05,18618
O2589,C1522,2025-11-26,15538
O2590,C1801,2025-05-08,4063
O2591,C1035,2023-07-24,14520
O2592,C1758,2024-04-05,5121
O2593,C1735,2024-10-15,8056
O2594,C1030,2023-09-02,18738
O2595,C1036,2024-07-13,8347
O2596,C1382,2025-05-12,12870
O2597,C1766,2025-07-25,6713
O2598,C1375,2025-03-14,18354
O2599,C1748,2025-04-02,3985
O2600,C1626,2023-07-09,12571
O2601,C1770,2024-08-15,10798
O2602,C1034,2025-04-23,8862
O2603,C1118,2024-05-05,7094
O2604,C1983,2025-06-17,1186
O2605,C1416,2023-02-04,2583
O2606,C1208,2024-11-14,17666
O2607,C1256,2024-05-24,12954
O2608,C1607,2023-10-03,14014
O2609,C1658,2025-10-17,3474
O2610,C1914,2023-07-27,10731
O2611,C1413,2025-11-20,7584
O2612,C1850,2025-04-26,13888
O2613,C1796,2024-12-05,17560
O2614,C1127,2025-05-15,12918
O2615,C1606,2023-12-01,5440
O2616,C1848,2023-04-19,15488
O2617,C1461,2025-04-07,16580
O2618,C1930,2023-09-11,12316
O2619,C1800,2023-06-13,4438
O2620,C1156,2025-06-17,10809
O2621,C1001,2023-05-31,8219
O2622,C1716,2025-03-24,8300
O2623,C1363,2024-02-27,18687
O2624,C1688,2024-12-09,10442
O2625,C1135,2025-04-27,19356
O2626,C1688,2022-12-25,17842
O2627,C1475,2025-09-17,12825
O2628,C1788,2024-03-08,13798
O2629,C1920,2023-08-04,18137
O2630,C1942,2023-10-12,13272
O2631,C1059,2023-04-16,16610
O2632,C1863,2024-12-22,7904
O2633,C1002,2024-03-13,2816
O2634,C1077,2023-08-05,8640
O2635,C1303,2023-11-07,6614
O2636,C1388,2025-04-06,5584
O2637,C1105,2024-06-26,17656
O2638,C1743,2024-01-25,12291
O2639,C1440,2025-10-29,13168
O2640,C1043,2024-10-15,4962
O2641,C1459,2024-02-13,13318
O2642,C1865,2024-11-11,3386
O2643,C1662,2023-03-27,610
O2644,C1895,2025-01-24,1936
O2645,C1502,2023-06-11,2460
O2646,C1532,2025-01-16,462
O2647,C1373,2023-12-24,10501
O2648,C1371,2024-02-17,18357
O2649,C1991,2023-03-04,15396
O2650,C1763,2025-08-02,19562
O2651,C1130,2025-10-29,2024
O2652,C1500,2025-02-10,14942
O2653,C1544,2024-12-24,14359
O2654,C1942,2024-11-18,4441
O2655,C1092,2023-09-21,2822
O2656,C1579,2023-06-28,13171
O2657,C1116,2025-06-02,7763
O2658,C1195,2025-03-11,5626
O2659,C1234,2025-01-23,10216
O2660,C1366,2024-10-24,13565
O2661,C1453,2024-01-08,5169
O2662,C1651,2025-04-05,17252
O2663,C1900,2023-08-16,18591
O2664,C1096,2024-01-18,7304
O2665,C1621,2025-11-17,8999
O2666,C1634,2023-11-30,14027
O2667,C1961,2023-03-16,6729
O2668,C1723,2025-11-10,14443
O2669,C1208,2025-05-16,12425
O2670,C1868,2025-06-04,11400
O2671,C1981,2025-09-18,12609
O2672,C1544,2025-06-23,13453
O2673,C1509,2024-10-18,8758
O2674,C1511,2024-03-13,2401
O2675,C1972,2023-03-09,16309
O2676,C1448,2024-01-25,14885
O2677,C1161,2024-03-29,11332
O2678,C1203,2024-11-13,8770
O2679,C1319,2024-01-19,13132
O2680,C1593,2025-02-18,3689
O2681,C1914,2023-12-16,17534
O2682,C1409,2025-08-30,10597
O2683,C1276,2025-11-26,1104
O2684,C1510,2023-05-28,5979
O2685,C1111,2025-08-30,11664
O2686,C1837,2023-01-15,307
O2687,C1691,2023-09-14,12960
O2688,C1033,2025-05-28,1565
O2689,C1352,2023-07-15,17587
O2690,C1086,2024-02-14,10097
O2691,C1762,2025-04-27,6311
O2692,C1104,2025-05-26,6175
O2693,C1313,2024-11-29,15016
O2694,C1806,2024-07-18,3233
O2695,C1741,2023-01-25,14823
O2696,C1651,2023-08-31,11245
O2697,C1294,2024-11-12,16610
O2698,C1441,2023-05-05,16330
O2699,C1454,2025-11-16,13778
O2700,C1327,2024-02-11,6768
O2701,C1326,2025-09-13,13529
O2702,C1181,2023-08-09,1916
O2703,C1324,2025-11-18,9434
O2704,C1702,2023-05-16,4350
O2705,C1864,2025-10-06,10286
O2706,C1535,2024-02-20,18587
O2707,C1612,2023-10-26,9815
O2708,C1082,2023-10-11,8289
O2709,C1780,2023-07-16,336
O2710,C1453,2024-07-23,9528
O2711,C1613,2023-09-12,18159
O2712,C1847,2024-10-17,17251
O2713,C1829,2025-07-18,10938
O2714,C1400,2022-12-15,8810
O2715,C1198,2025-02-11,5325
O2716,C1071,2025-05-21,2598
O2717,C1052,2023-03-23,5495
O2718,C1624,2024-02-03,12305
O2719,C1570,2024-10-20,9566
O2720,C1620,2023-05-12,13156
O2721,C1955,2023-09-11,12910
O2722,C1651,2025-01-10,6345
O2723,C1406,2025-08-02,17088
O2724,C1951,2025-10-30,11237
O2725,C1948,2025-03-18,3731
O2726,C1250,2025-02-08,5511
O2727,C1471,2025-06-03,12648
O2728,C1041,2025-01-04,18385
O2729,C1389,2024-09-14,19357
O2730,C1141,2023-04-29,19531
O2731,C1542,2023-10-16,1168
O2732,C1733,2025-03-09,19438
O2733,C1025,2024-01-22,2060
O2734,C1710,2023-04-11,5516
O2735,C1470,2023-08-04,7432
O2736,C1943,2025-06-04,3791
O2737,C1058,2022-12-28,11819
O2738,C1219,2024-10-23,15949
O2739,C1650,2024-09-27,4674
O2740,C1724,2025-11-07,8714
O2741,C1265,2025-03-05,1550
O2742,C1826,2025-09-05,17625
O2743,C1382,2023-01-12,17995
O2744,C1391,2023-08-30,10481
O2745,C1547,2025-01-06,15322
O2746,C1948,2025-09-24,10251
O2747,C1012,2024-07-29,8680
O2748,C1985,2024-01-13,2118
O2749,C1770,2024-02-04,1062
O2750,C1328,2024-09-08,8871
O2751,C1871,2024-02-04,12682
O2752,C1730,2023-04-05,15370
O2753,C1468,2024-08-18,7241
O2754,C1147,2023-01-02,11937
O2755,C1719,2023-10-31,1042
O2756,C1657,2025-12-02,10288
O2757,C1501,2024-11-19,4842
O2758,C1752,2024-03-19,15922
O2759,C1592,2024-11-26,4458
O2760,C1996,2025-01-10,1996
O2761,C1548,2024-01-26,18978
O2762,C1634,2024-11-07,9340
O2763,C1189,2025-02-22,17953
O2764,C1406,2023-07-11,19349
O2765,C1357,2023-01-13,18172
O2766,C1266,2024-07-25,854
O2767,C1321,2023-06-03,13417
O2768,C1309,2025-04-30,16782
O2769,C1777,2024-04-13,5948
O2770,C1279,2025-03-26,15194
O2771,C1991,2023-02-05,11950
O2772,C1941,2025-06-10,11753
O2773,C1917,2025-06-07,13392
O2774,C1136,2025-08-13,444
O2775,C1233,2023-11-01,5901
O2776,C1125,2024-05-25,18538
